CODMUNRES;ANO;NIVEL;TO;TORC;TORCR;TO_NN;TO_N;TO_CB_I;TO_CB_N;TO_CB_C;TO_CB_R;TO_CB_O;TO_M;TO_F;TO_F_IF;TO_FT;TO_NT;TO_NT_P;TO_NT_T;TO_PNT;TO_MT_G;TONT_B;TONT_PT;TONT_A;TONT_PD;TONT_I;TO_MT;TO_MT_DG;TO_MT_PT;TO_MT_AB;TO_MT_42;TO_MT_43;TO_MT_P;TO_MT_P_I;TO_MT_P_ES;TO_MT_P_EFI;TO_MT_P_EFII;TO_MT_P_EM;TO_MT_P_ESI;TO_MT_P_ESC
310000;2015;MUNICIPIO;191;0;0;107;84;5;6;15;13;45;158;27;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310010;2015;MUNICIPIO;46;0;0;2;44;4;7;12;8;13;27;19;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310020;2015;MUNICIPIO;175;0;0;16;159;9;33;39;21;57;82;93;8;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310030;2015;MUNICIPIO;84;0;0;12;72;1;12;23;10;26;45;39;3;0;3;3;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310040;2015;MUNICIPIO;21;0;0;1;20;1;1;6;1;11;12;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310050;2015;MUNICIPIO;58;0;0;7;51;3;15;17;6;10;29;29;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310060;2015;MUNICIPIO;81;0;0;3;78;2;17;15;5;39;42;39;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310070;2015;MUNICIPIO;12;0;0;1;11;2;5;3;0;1;9;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310080;2015;MUNICIPIO;26;0;0;3;23;1;3;7;2;10;17;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310090;2015;MUNICIPIO;146;0;0;25;121;4;18;43;11;45;97;49;7;0;4;4;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310100;2015;MUNICIPIO;72;0;0;8;64;4;10;17;7;26;38;34;5;0;2;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310110;2015;MUNICIPIO;198;0;0;27;171;6;26;63;37;39;107;91;7;0;3;3;0;3;0;1;0;0;2;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0
310120;2015;MUNICIPIO;57;0;0;3;54;0;14;18;8;14;31;26;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310130;2015;MUNICIPIO;27;0;0;2;25;1;1;14;1;8;16;11;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310140;2015;MUNICIPIO;13;0;0;0;13;0;1;5;3;4;10;3;0;0;2;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310150;2015;MUNICIPIO;314;0;0;16;298;14;49;109;52;74;160;154;13;0;4;3;1;1;1;0;0;0;3;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0
310160;2015;MUNICIPIO;545;0;0;41;504;23;97;149;70;165;309;236;22;0;5;4;1;3;0;1;0;0;2;0;2;0;0;0;1;1;1;1;0;0;0;0;0;1
310163;2015;MUNICIPIO;40;0;0;7;33;2;10;9;6;6;23;17;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0
310170;2015;MUNICIPIO;290;0;0;25;265;14;35;61;33;122;172;118;14;0;6;4;2;3;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310180;2015;MUNICIPIO;50;0;0;12;38;0;12;9;4;13;28;22;3;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310190;2015;MUNICIPIO;126;0;0;5;121;4;27;20;21;49;65;61;7;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0
310200;2015;MUNICIPIO;110;0;0;4;106;6;15;43;9;33;64;46;1;0;2;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310205;2015;MUNICIPIO;38;0;0;1;37;0;6;18;1;12;18;20;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310210;2015;MUNICIPIO;117;0;0;22;95;3;20;29;20;23;63;54;9;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0
310220;2015;MUNICIPIO;29;0;0;2;27;1;5;10;4;7;17;12;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310230;2015;MUNICIPIO;99;0;0;7;92;10;20;25;12;25;54;45;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310240;2015;MUNICIPIO;20;0;0;4;16;2;3;6;2;3;10;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310250;2015;MUNICIPIO;48;0;0;2;46;0;10;18;4;14;23;25;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310260;2015;MUNICIPIO;299;0;0;26;273;6;55;92;39;81;184;115;6;0;3;1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310270;2015;MUNICIPIO;61;0;0;9;52;6;8;12;3;23;40;21;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310280;2015;MUNICIPIO;100;0;0;8;92;5;24;32;8;23;56;44;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310285;2015;MUNICIPIO;39;0;0;0;39;2;6;15;4;12;20;19;3;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0
310290;2015;MUNICIPIO;80;0;0;5;75;2;18;21;11;23;44;36;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0
310300;2015;MUNICIPIO;73;0;0;11;62;3;12;23;7;17;41;32;7;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0
310310;2015;MUNICIPIO;11;0;0;0;11;0;3;6;1;1;4;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310320;2015;MUNICIPIO;19;0;0;2;17;0;3;6;3;5;9;10;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310330;2015;MUNICIPIO;10;0;0;1;9;2;1;2;3;1;6;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310340;2015;MUNICIPIO;283;0;0;38;245;15;33;47;34;116;174;109;9;0;9;7;2;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310350;2015;MUNICIPIO;852;0;0;88;764;41;127;274;80;242;500;352;38;0;13;10;3;7;0;9;0;0;3;0;2;0;0;0;1;1;1;1;0;1;0;0;0;0
310360;2015;MUNICIPIO;19;0;0;3;16;0;3;4;2;7;8;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310370;2015;MUNICIPIO;42;0;0;4;38;2;8;14;5;9;22;20;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
