"NIVEL","CODMUNRES","ANO","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
"UF","31",2015,268305,212609,212609,1581,39853,62633,65680,59138,31860,7113,413,32,266690,22,27,32,26.9762358229315,6.65319596767771,775,11941,61713,133782,11790,39944,88365,19876,1405,137283,506,109229,156301,114769,153536,261751,5974,157,1395,2878,249092,0,7297,29115,224359,7294,38,39,40,38.4646045527059,2.26254531756028,718,41176,14402,18875,176145,96233,172072,115964,151741,251462,10803,460,42484,50705,40137,28872,54905,4367,5174,5885,460,23428,266803,517,630,346,0,136788,131477,88991,19936,1406,138504,508,24601,233684,9988,2865,3170,3470,3136.52447693208,545.810171628034,19817,210533,21316,2739,257241,9.35779675359643,0.878333095282921,1672,258004
"MUNICIPIO","310000",2015,14,11,11,1,0,4,2,3,3,1,0,0,13,22.25,29,36.25,28.6428571428571,8.18635960097549,0,2,4,2,0,6,3,0,1,7,0,4,10,5,9,10,4,0,0,0,14,0,0,4,10,0,36.25,38,38.75,37.2857142857143,2.61441481696475,0,1,0,0,13,14,0,3,11,13,0,1,1,1,0,2,5,0,0,4,1,0,14,0,0,0,0,10,4,3,0,1,7,0,4,10,0,2551.25,3105,3416.25,2986.07142857143,500.204491150402,1,9,0,0,14,9.28571428571429,0.726273039202563,0,14
"MUNICIPIO","310010",2015,53,53,53,1,8,8,15,13,8,0,0,0,52,20,27,33,27.0377358490566,6.75096079814668,0,3,15,23,2,10,44,1,0,8,0,15,38,23,30,53,0,0,0,0,53,0,0,9,44,0,38,38,39,37.9811320754717,1.72638535271438,0,3,3,7,40,24,29,4,49,52,1,0,9,9,7,6,12,0,1,0,0,9,53,0,0,0,0,26,27,44,1,0,8,0,7,46,0,2815,3025,3330,3029.81132075472,449.378804428264,7,43,3,0,53,9.62264150943396,0.595703045999483,0,53
"MUNICIPIO","310020",2015,238,233,233,2,41,49,52,56,30,6,2,0,236,22,27,32,27.1050420168067,7.01005123752013,0,17,101,82,5,32,145,3,1,88,0,50,188,96,142,237,1,0,1,3,231,0,2,22,213,2,38,39,39,38.2995780590717,2.05612969258675,0,33,16,30,157,67,171,72,165,214,23,1,6,66,14,44,62,13,9,1,1,21,238,0,0,0,0,123,115,145,3,1,88,0,18,207,13,2870,3155,3497.5,3145.48739495798,558.396111322438,14,195,25,1,237,9.71428571428571,0.651423072425845,3,235
"MUNICIPIO","310030",2015,148,74,74,0,26,27,47,35,9,4,0,0,148,21,26.5,31,26.4864864864865,6.11398139706245,0,18,37,60,3,13,38,8,0,69,0,26,111,68,80,146,2,0,1,0,130,0,3,25,106,3,37,38,40,38.1716417910448,2.42023462294879,0,12,5,7,107,78,70,39,108,141,6,0,18,30,12,17,30,4,0,2,0,22,148,0,0,0,0,75,73,38,8,0,69,0,15,133,0,2885,3153,3416.25,3092.83108108108,516.77341958605,11,112,7,1,111,9.58928571428571,0.729723771366113,2,140
"MUNICIPIO","310040",2015,38,36,36,0,8,11,7,7,3,1,1,0,38,21,24.5,31,26.0263157894737,7.29118995258036,0,0,11,23,1,2,6,10,0,21,0,14,24,14,24,38,0,0,0,0,37,0,0,9,28,0,38,39,39,38.0540540540541,1.9285277335883,0,11,1,1,25,38,0,22,16,38,0,0,4,6,6,4,8,0,0,0,0,9,38,0,0,0,0,19,19,6,10,0,21,0,3,34,1,2891.25,3135,3363.75,3137.10526315789,461.932824733364,3,32,2,1,37,9.60526315789474,1.02770996235031,0,38
"MUNICIPIO","310050",2015,115,18,18,0,29,26,24,22,9,5,0,0,115,19.5,25,30,25.7739130434783,6.89655503826954,0,16,26,67,0,6,4,2,0,12,0,54,60,52,63,111,4,0,1,1,106,0,7,12,96,7,38,39,40,38.704347826087,2.22416518162405,0,17,1,2,87,115,0,77,38,113,2,0,36,9,36,8,10,1,1,4,0,10,115,0,0,0,0,48,67,4,2,0,12,0,10,104,1,2885,3195,3510,3148.06956521739,508.709887366262,6,99,5,0,113,9.2212389380531,0.546653998599275,0,88
"MUNICIPIO","310060",2015,179,141,141,1,36,48,47,29,13,4,1,0,178,20,25,30,25.4916201117318,6.61320496769621,1,28,68,59,7,15,13,7,0,158,0,86,92,72,107,174,5,0,0,0,145,0,7,10,135,7,38,39,40,38.9605263157895,1.89765131566871,2,46,24,16,81,174,5,109,70,161,17,0,32,21,39,19,14,5,10,5,0,10,176,0,3,0,0,86,93,13,7,0,159,0,2,166,11,3000,3250,3532.5,3261.87150837989,408.652884519813,6,119,19,2,175,9.48587570621469,0.923846606664275,7,171
"MUNICIPIO","310070",2015,25,13,13,0,2,4,9,6,4,0,0,0,25,25,27,31,27.8,5.78791845139511,0,2,5,9,2,3,10,2,0,7,0,8,17,6,19,25,0,0,0,1,23,0,0,5,19,0,37,38,39,37.6666666666667,2.03590951081621,0,3,0,4,15,25,0,10,15,25,0,0,3,0,3,4,9,0,0,0,0,5,25,0,0,0,0,13,12,10,2,0,7,0,1,24,0,2940,3115,3470,3113.2,522.882395955343,0,22,2,0,25,9.28,0.458257569495584,0,25
"MUNICIPIO","310080",2015,51,49,49,0,7,12,15,13,3,1,0,0,51,21.5,27,30.5,26.3921568627451,5.89602724339889,0,2,16,21,3,9,34,4,0,13,0,24,27,19,32,47,4,0,0,0,51,0,0,5,46,0,38,39,40,38.5098039215686,1.56681267571599,0,9,3,6,32,51,0,7,44,50,1,0,7,7,4,1,24,1,0,4,0,3,51,0,0,0,0,18,33,34,4,0,13,0,8,43,0,2777.5,3160,3522.5,3110,545.952378875667,3,41,3,0,51,8.54901960784314,0.756669689896353,1,49
